date,regime,portfolio_value,cash,open_positions
2020-01-30,Bear,97201329.84660393,75724843.84660393,11
2020-01-31,Bear,96422236.24796756,78718671.24796756,9
2020-02-03,Bear,96147730.12124029,84200612.12124029,7
2020-02-04,Bear,96338076.12124029,84200612.12124029,7
2020-02-05,Bear,96399106.12124029,84200612.12124029,7
2020-02-06,Narrow Bull,96328380.32124029,71751904.32124029,10
2020-02-07,Recovery,97897680.32124029,71751904.32124029,10
2020-02-10,Recovery,97267696.32124029,71751904.32124029,10
2020-02-11,Narrow Bull,97405990.43396756,74469183.43396756,10
2020-02-12,Narrow Bull,97089220.43396756,74469183.43396756,10
2020-02-13,Narrow Bull,96585166.43396756,74469183.43396756,10
2020-02-14,Narrow Bull,97056255.43396756,74469183.43396756,10
2020-02-17,Narrow Bull,96891488.43396756,74469183.43396756,10
2020-02-18,Recovery,96725247.43396756,74469183.43396756,10
2020-02-19,Narrow Bull,97046433.43396756,74469183.43396756,10
2020-02-20,Bear,96799737.43396756,74469183.43396756,10
2020-02-21,Bear,96477715.43396756,74469183.43396756,10
2020-02-24,Bear,95700112.22851302,83000369.22851302,6
2020-02-25,Bear,95797434.69914939,84916144.69914939,4
2020-02-26,Bear,95608684.69914939,84916144.69914939,4
2020-02-27,Bear,95307884.69914939,84916144.69914939,4
2020-02-28,Bear,94930183.91210394,88805083.91210394,2
2020-03-02,Bear,94978233.91210394,88805083.91210394,2
2020-03-03,Bear,95029983.91210394,88805083.91210394,2
2020-03-04,Bear,95079133.91210394,88805083.91210394,2
2020-03-05,Bear,95131983.91210394,88805083.91210394,2
2020-03-06,Bear,94993075.66892211,91941575.66892211,1
2020-03-09,Bear,94833686.0033312,94833686.0033312,0
2020-03-10,Bear,94833686.0033312,94833686.0033312,0
2020-03-11,Bear,94833686.0033312,94833686.0033312,0
2020-03-12,Bear,94833686.0033312,94833686.0033312,0
2020-03-13,Bear,94833686.0033312,94833686.0033312,0
2020-03-16,Bear,94833686.0033312,94833686.0033312,0
2020-03-17,Bear,94833686.0033312,94833686.0033312,0
2020-03-18,Bear,94833686.0033312,94833686.0033312,0
2020-03-19,Bear,94833686.0033312,94833686.0033312,0
2020-03-20,Bear,94833686.0033312,94833686.0033312,0
2020-03-23,Bear,94833686.0033312,94833686.0033312,0
2020-03-24,Bear,94833686.0033312,94833686.0033312,0
2020-03-25,Bear,94833686.0033312,94833686.0033312,0
2020-03-26,Bear,94833686.0033312,94833686.0033312,0
2020-03-27,Bear,94833686.0033312,94833686.0033312,0
2020-03-30,Bear,94833686.0033312,94833686.0033312,0
2020-03-31,Bear,94833686.0033312,94833686.0033312,0
2020-04-01,Bear,94833686.0033312,94833686.0033312,0
2020-04-02,Bear,94833686.0033312,94833686.0033312,0
2020-04-03,Bear,94833686.0033312,94833686.0033312,0
2020-04-06,Broad Bull,94755874.64618835,77584674.64618835,4
2020-04-07,Broad Bull,94297154.64618835,77584674.64618835,4
2020-04-08,Broad Bull,94797324.64618835,77584674.64618835,4
2020-04-09,Broad Bull,94299394.64618835,77584674.64618835,4
2020-04-10,Broad Bull,93935204.64618835,77584674.64618835,4
2020-04-13,Broad Bull,93828994.64618835,77584674.64618835,4
2020-04-14,Broad Bull,94033624.64618835,77584674.64618835,4
2020-04-16,Broad Bull,93915994.64618835,77584674.64618835,4
2020-04-17,Broad Bull,93871494.64618835,77584674.64618835,4
2020-04-20,Broad Bull,93965654.64618835,77584674.64618835,4
2020-04-21,Broad Bull,93724674.64618835,77584674.64618835,4
2020-04-22,Broad Bull,93911934.64618835,77584674.64618835,4
2020-04-23,Broad Bull,94381424.64618835,77584674.64618835,4
2020-04-24,Narrow Bull,94345844.64618835,77584674.64618835,4
2020-04-27,Broad Bull,94286794.64618835,77584674.64618835,4
2020-04-28,Broad Bull,94254384.64618835,77584674.64618835,4
2020-04-29,Broad Bull,94102434.64618835,77584674.64618835,4
2020-05-04,Broad Bull,94163184.64618835,77584674.64618835,4
2020-05-06,Broad Bull,94252914.64618835,77584674.64618835,4
2020-05-07,Broad Bull,94382244.64618835,77584674.64618835,4
2020-05-08,Broad Bull,94555514.64618835,77584674.64618835,4
2020-05-11,Broad Bull,94511274.64618835,77584674.64618835,4
2020-05-12,Narrow Bull,94772524.64618835,77584674.64618835,4
2020-05-13,Broad Bull,94999434.64618835,77584674.64618835,4
2020-05-14,Narrow Bull,95149254.64618835,77584674.64618835,4
2020-05-15,Narrow Bull,95440274.64618835,77584674.64618835,4
2020-05-18,Narrow Bull,95196794.64618835,77584674.64618835,4
2020-05-19,Narrow Bull,94823724.64618835,77584674.64618835,4
2020-05-20,Narrow Bull,94857444.64618835,77584674.64618835,4
2020-05-21,Narrow Bull,94997094.64618835,77584674.64618835,4
2020-05-22,Narrow Bull,95055914.64618835,77584674.64618835,4
2020-05-25,Narrow Bull,95323884.64618835,77584674.64618835,4
2020-05-26,Narrow Bull,95226614.64618835,77584674.64618835,4
2020-05-27,Narrow Bull,95249184.64618835,77584674.64618835,4
2020-05-28,Narrow Bull,94863897.1807338,73497457.1807338,5
2020-05-29,Narrow Bull,95148287.1807338,73497457.1807338,5
2020-06-01,Broad Bull,95052157.1807338,73497457.1807338,5
2020-06-02,Broad Bull,95219407.1807338,73497457.1807338,5
2020-06-03,Broad Bull,95778387.1807338,73497457.1807338,5
2020-06-04,Narrow Bull,95221873.82891561,72347124.82891561,6
2020-06-05,Broad Bull,95297790.82891561,72347124.82891561,6
2020-06-08,Broad Bull,95387519.82891561,72347124.82891561,6
2020-06-09,Broad Bull,95258774.82891561,72347124.82891561,6
2020-06-10,Narrow Bull,95425037.82891561,72347124.82891561,6
2020-06-11,Narrow Bull,95317428.82891561,72347124.82891561,6
2020-06-12,Narrow Bull,95162028.21891561,72170056.21891561,6
2020-06-15,Recovery,93754646.04691562,70928723.04691562,7
2020-06-16,Narrow Bull,94830830.04691562,70928723.04691562,7
2020-06-17,Recovery,95767485.04691562,70928723.04691562,7
2020-06-18,Narrow Bull,95982676.04691562,70928723.04691562,7
2020-06-19,Recovery,95580079.04691562,70928723.04691562,7
2020-06-22,Recovery,95613001.04691562,70928723.04691562,7
2020-06-23,Recovery,95777561.04691562,70928723.04691562,7
2020-06-24,Recovery,96064867.04691562,70928723.04691562,7
2020-06-25,Recovery,95679095.04691562,70928723.04691562,7
2020-06-26,Recovery,95706919.04691562,70928723.04691562,7
2020-06-29,Recovery,95528615.04691562,70928723.04691562,7
2020-06-30,Recovery,95347191.04691562,70928723.04691562,7
2020-07-01,Recovery,94987734.04691562,70928723.04691562,7
2020-07-02,Narrow Bull,95299641.04691562,70928723.04691562,7
2020-07-03,Narrow Bull,95120911.04691562,70928723.04691562,7
2020-07-06,Narrow Bull,95834903.04691562,70928723.04691562,7
2020-07-07,Narrow Bull,95547443.04691562,70928723.04691562,7
2020-07-08,Narrow Bull,95345067.04691562,70928723.04691562,7
2020-07-09,Narrow Bull,95674057.04691562,70928723.04691562,7
2020-07-10,Narrow Bull,95289191.04691562,70928723.04691562,7
2020-07-13,Broad Bull,95976341.04691562,70928723.04691562,7
2020-07-14,Narrow Bull,95848040.69291562,72952750.69291562,6
2020-07-15,Broad Bull,96147860.69291562,72952750.69291562,6
2020-07-16,Narrow Bull,95836280.69291562,72952750.69291562,6
2020-07-17,Narrow Bull,96035600.69291562,72952750.69291562,6
2020-07-20,Narrow Bull,95764060.69291562,72952750.69291562,6
2020-07-21,Narrow Bull,95891500.69291562,72952750.69291562,6
2020-07-22,Narrow Bull,95414350.69291562,72952750.69291562,6
2020-07-23,Narrow Bull,95287140.69291562,72952750.69291562,6
2020-07-24,Narrow Bull,95027815.69291562,72952750.69291562,6
2020-07-27,Narrow Bull,95061780.69291562,72952750.69291562,6
2020-07-28,Narrow Bull,95187045.69291562,72952750.69291562,6
2020-07-29,Narrow Bull,95271840.69291562,72952750.69291562,6
2020-07-30,Narrow Bull,95235335.69291562,72952750.69291562,6
2020-07-31,Narrow Bull,95190440.69291562,72952750.69291562,6
2020-08-03,Narrow Bull,95456330.69291562,72952750.69291562,6
2020-08-04,Narrow Bull,95772847.07291561,73868072.07291561,6
2020-08-05,Narrow Bull,96055772.07291561,73868072.07291561,6
2020-08-06,Narrow Bull,96051097.07291561,73868072.07291561,6
2020-08-07,Narrow Bull,96211697.07291561,73868072.07291561,6
2020-08-10,Narrow Bull,96769922.07291561,73868072.07291561,6
2020-08-11,Narrow Bull,96763572.07291561,73868072.07291561,6
2020-08-12,Narrow Bull,96741172.07291561,73868072.07291561,6
2020-08-13,Narrow Bull,97409272.07291561,73868072.07291561,6
2020-08-14,Narrow Bull,97067922.07291561,73868072.07291561,6
2020-08-18,Narrow Bull,96112918.89158444,55178718.89158444,6
2020-08-19,Narrow Bull,95973056.2552208,73966096.2552208,5
2020-08-20,Recovery,95264062.28379223,69121662.28379223,7
2020-08-21,Recovery,95307012.28379223,69121662.28379223,7
2020-08-24,Narrow Bull,95688132.28379223,69121662.28379223,7
2020-08-25,Narrow Bull,95986177.28379223,69121662.28379223,7
2020-08-26,Narrow Bull,95831372.28379223,69121662.28379223,7
2020-08-27,Narrow Bull,95811257.28379223,69121662.28379223,7
2020-08-28,Narrow Bull,95421533.77080521,66680553.77080521,8
2020-08-31,Recovery,95465160.77080521,66680553.77080521,8
2020-09-01,Broad Bull,96080000.77080521,66680553.77080521,8
2020-09-02,Narrow Bull,96346607.77080521,66680553.77080521,8
2020-09-03,Broad Bull,96404153.8708052,66240881.87080521,8
2020-09-04,Narrow Bull,95867518.8708052,66240881.87080521,8
2020-09-07,Broad Bull,96164507.8708052,66240881.87080521,8
2020-09-08,Narrow Bull,96038251.8708052,66240881.87080521,8
2020-09-09,Narrow Bull,95677490.8708052,66240881.87080521,8
2020-09-10,Broad Bull,95978866.8708052,66240881.87080521,8
2020-09-11,Narrow Bull,96127534.8708052,66240881.87080521,8
2020-09-14,Broad Bull,96430515.8708052,66240881.87080521,8
2020-09-15,Narrow Bull,96411833.8708052,66240881.87080521,8
2020-09-16,Narrow Bull,96072266.8708052,66240881.87080521,8
